sub_period,model,k,n_days,day_ret,ann_ret,ann_vol,sharpe,max_drawdown,total_ret
paper,ENS1,10,5803,0.00363894,1.338762,0.344002,3.8917,-0.432238,367200819.161687
paper,ENS1,50,5803,0.00207273,0.646213,0.196301,3.2919,-0.312599,105942.384918
paper,ENS1,100,5803,0.00136902,0.392404,0.14841,2.644,-0.278265,2172.094672
paper,ENS1,150,5803,0.00102593,0.282933,0.120099,2.3558,-0.222904,323.809079
paper,ENS1,200,5803,0.00081275,0.21917,0.099392,2.2051,-0.197708,98.477119
paper,ENS2,10,5803,0.00315819,1.096516,0.311321,3.5221,-0.475804,29014679.502327
paper,ENS2,50,5803,0.0018596,0.566236,0.178297,3.1758,-0.346493,33343.536786
paper,ENS2,100,5803,0.00124337,0.352129,0.13426,2.6227,-0.285537,1098.499061
paper,ENS2,150,5803,0.00091783,0.250379,0.108842,2.3004,-0.238395,177.865936
paper,ENS2,200,5803,0.0007239,0.193414,0.090548,2.136,-0.201148,59.600233
paper,ENS3,10,5803,0.00363931,1.348826,0.33129,4.0714,-0.397672,405684352.28955
paper,ENS3,50,5803,0.00200016,0.618657,0.190007,3.256,-0.311018,71597.139311
paper,ENS3,100,5803,0.00135259,0.387761,0.143254,2.7068,-0.280882,2009.983565
paper,ENS3,150,5803,0.00100235,0.275962,0.116427,2.3703,-0.234419,285.221573
paper,ENS3,200,5803,0.00078854,0.212219,0.096026,2.21,-0.203314,86.112881
paper,DNN,10,5803,0.0025902,0.789778,0.360595,2.1902,-0.537089,737859.661403
paper,DNN,50,5803,0.00157313,0.450172,0.206461,2.1804,-0.405364,5582.063424
paper,DNN,100,5803,0.00105467,0.285851,0.155603,1.8371,-0.325989,341.401797
paper,DNN,150,5803,0.00081276,0.215515,0.125998,1.7105,-0.284812,91.78009
paper,DNN,200,5803,0.00064695,0.169154,0.103989,1.6267,-0.24152,36.621553
paper,GBT,10,5803,0.00365594,1.380531,0.30135,4.5811,-0.331442,553798702.511201
paper,GBT,50,5803,0.0020605,0.648748,0.171085,3.792,-0.172726,109794.630057
paper,GBT,100,5803,0.00139411,0.40507,0.128134,3.1613,-0.148207,2680.436647
paper,GBT,150,5803,0.00106506,0.297771,0.104725,2.8434,-0.124746,423.181084
paper,GBT,200,5803,0.00083209,0.226501,0.086857,2.6078,-0.122671,113.329142
paper,RAF,10,5803,0.00275324,0.904502,0.294774,3.0685,-0.468941,3120959.651554
paper,RAF,50,5803,0.0015265,0.444341,0.165876,2.6788,-0.353736,5083.542879
paper,RAF,100,5803,0.00105377,0.291036,0.12563,2.3166,-0.315888,374.926677
paper,RAF,150,5803,0.00077192,0.206658,0.100657,2.0531,-0.240154,77.29405
paper,RAF,200,5803,0.00062676,0.165492,0.083761,1.9758,-0.203638,33.979217
