metric,DNN_before_TC,DNN_after_TC,GBT_before_TC,GBT_after_TC,ENS1_before_TC,ENS1_after_TC,MKT
Mean return (long),0.0016,0.0016,0.0023,0.0023,0.0022,0.0022,-
Mean return (short),-0.001,-0.001,-0.0014,-0.0014,-0.0015,-0.0015,-
Mean return,0.0026,0.0006,0.0037,0.0017,0.0037,0.0017,0.0003
Standard error (NW),0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0001
t-statistic (NW),8.6408,2.0163,14.7447,6.8154,12.6879,5.7714,2.2603
PT test statistic,30.2547,-,39.1106,-,37.3853,-,-
Minimum,-0.1999,-0.2019,-0.1196,-0.1216,-0.1749,-0.1769,-0.0903
Quartile 1,-0.0074,-0.0094,-0.0055,-0.0075,-0.0058,-0.0078,-0.0047
Median,0.0024,0.0004,0.0033,0.0013,0.0032,0.0012,0.0006
Quartile 3,0.0124,0.0104,0.0129,0.0109,0.013,0.011,0.0057
Maximum,0.2117,0.2097,0.1852,0.1832,0.2429,0.2409,0.1158
Standard deviation,0.0228,0.0228,0.019,0.019,0.0218,0.0218,0.0117
Skewness,0.2416,0.2416,0.3132,0.3132,0.5447,0.5447,-0.0633
Kurtosis,8.8366,8.8366,7.7516,7.7516,11.6806,11.6806,8.7627
Historical 1-percent VaR,-0.0636,-0.0656,-0.0511,-0.0531,-0.059,-0.061,-0.0318
Historical 1-percent CVaR,-0.0876,-0.0896,-0.0697,-0.0717,-0.082,-0.084,-0.0462
Historical 5-percent VaR,-0.0303,-0.0323,-0.0238,-0.0258,-0.0273,-0.0293,-0.0179
Historical 5-percent CVaR,-0.0518,-0.0538,-0.0402,-0.0422,-0.0469,-0.0489,-0.0277
Maximum drawdown,0.5372,0.9758,0.322,0.8408,0.4322,0.8648,0.5678
Calmar ratio,1.4849,0.0932,4.4052,0.5574,3.1363,0.4976,0.1224
Share with return > 0,0.5743,0.5101,0.6016,0.54,0.595,0.5329,0.5363
