permno,ticker,comnam
10006,ACF,A C F INDUSTRIES INC
10030,ABK,ABEX CORP
10057,AMT,ACME CLEVELAND CORP NEW
10078,JAVA,SUN MICROSYSTEMS INC
10102,AN,AIRCO INC
10104,ORCL,ORACLE CORP
10107,MSFT,MICROSOFT CORP
10108,SDS,SUNGARD DATA SYSTEMS INC
10137,AYE,ALLEGHENY ENERGY INC
10138,TROW,T ROWE PRICE GROUP INC
10145,HON,HONEYWELL INTERNATIONAL INC
10147,EMC,E M C CORP MA
10153,AH,ALLIS CHALMERS CORP
10161,AMX,AMAX INC
10196,AF,AMERICAN & FGN PWR INC
10209,AHD,AMERICAN AGRIC CHEM CO
10225,BEAM,BEAM INC
10233,ABC,AMERICAN BROADCASTING COS INC
10241,PA,PRIMERICA CORP
10276,ACS,AMERICAN CRYSTAL SUGAR CO
10292,ACJ,AMERICAN CHICLE CO
10299,LLTC,LINEAR TECHNOLOGY CORP
10321,AMO,AMERICAN MOTORS CORP
10324,GENZ,GENZYME CORP
10353,SXCL,STEEL EXCEL INC
10364,AR,ASARCO INC
10372,AST,AMERICAN STANDARD INC
10401,T,A T & T CORP
10436,ZA,AMERICAN ZINC CO
10452,,AMERICAN WOOLEN CO
10479,ASR,AMSTAR CORP
10487,AD,AMSTED INDUSTRIES INC
10495,A,ANACONDA CO
10516,ADM,ARCHER DANIELS MIDLAND CO
10524,AM,ARMOUR & CO
10559,DG,ASSOCIATED DRY GOODS CORP
10562,SOV,SOVEREIGN BANCORP INC
10575,ASF,ATCHISON TOPEKA & SANTA FE RY CO
10591,AX,ATLANTIC COAST LINE RR CO
10604,ARC,ATLANTIC RICHFIELD CO
10623,FRC,FIRST REPUBLIC BANK S F
10693,EHC,ENCOMPASS HEALTH CORP
10696,FI,FISERV INC
10725,CF,CHARTER ONE FINANCIAL INC
10727,BYK,BAYUK CIGARS INC
10735,BLS,BEECH NUT LIFE SAVERS INC
10751,BX,BENDIX CORP
10778,,BEST FOODS INC
10786,BS,BETHLEHEM STEEL CORP
10791,SGI,SILICON GRAPHICS INC
10807,BG,BRIGGS MFG CO
10823,KSE,KEYSPAN ENERGY CORP
10831,,BROOKLYN EDISON INC
10858,,BROOKLYN MANHATTAN TRAN CORP
10866,CAL,CALERES INC
10874,BC,BRUNSWICK CORP
10890,UIS,UNISYS CORP
10909,CERN,CERNER CORP
10942,CMVT,COMVERSE TECHNOLOGY INC
10970,CIT,C I T FINANCIAL CORP
10989,BFO,BESTFOODS
11033,CAH,CALUMET & HECLA INC
11042,WCOM,WORLDCOM INC GA NEW
11068,JI,CASE J I CO
11081,DELL,DELL INC
11092,CDP,CERRO CORP
11148,CNN,CHAMPLAIN NATIONAL CORP
11156,CO,CHESSIE SYSTEM INC
11164,CGG,CHICAGO PNEUMATIC TOOL CO
11199,,CHICAGO & NORTH WESTN RY CO
11260,C,CHRYSLER CORP
11287,CITA,CITADEL INDUSTRIES INC
11295,CLU,CLUETT PEABODY & CO INC
11308,KO,COCA COLA CO
11332,COT,COLT INDUSTRIES INC DE
11340,CG,COLUMBIA ENERGY GROUP
11359,,COLUMBIAN CARBON CO
11367,CC,COMMERCIAL CR CO
11375,COG,CONGOLEUM NAIRN INC
11391,CDR,CONSOLIDATED CIGAR CORP
11403,CDNS,CADENCE DESIGN SYSTEMS INC
11404,ED,CONSOLIDATED EDISON INC
11415,BRL,BARR PHARMACEUTICALS INC
11439,CSC,CONSOLIDATION COAL INC PA
11447,CCC,CONTINENTAL GROUP INC
11471,CLL,CONOCO INC
11527,XA,CRUCIBLE STL CO AMER
11533,FICO,FAIR ISAAC CORP
11543,CUD,CUDAHY CO
11552,CELG,CELGENE CORP
11600,XRAY,DENTSPLY SIRONA INC
11607,DCN,DANA CORP
11618,FAST,FASTENAL CO
11626,MCAWA,MCCAW CELLULAR COMMS INC
11658,DEL,DEL MONTE CORP
11666,,DELAWARE LACK & WESTN RR CO
11674,DTE,D T E ENERGY CO
11682,,DODGE BROS INC
11690,DM,DOME MINES LTD
11703,DD,DU PONT E I DE NEMOURS & CO
11746,ESB,E S B INC
11754,EK,EASTMAN KODAK CO
11762,ETN,EATON CORP
11770,ET,ELECTRIC AUTOLITE CO
11786,SIVB,S V B FINANCIAL GROUP
11789,,ELECTRIC PWR & LT CORP
11826,EJN,ENDICOTT JOHNSON CORP
11834,E,ERIE LACKAWANNA RY CO
11850,XOM,EXXON MOBIL CORP
11891,MGM,M G M RESORTS INTERNATIONAL
11896,MXIM,MAXIM INTEGRATED PRODUCTS INC
11949,FST,FIRST NATIONAL STORES INC
11955,WM,WASTE MANAGEMENT INC DEL
11970,APCC,AMERICAN POWER CONVERSION CORP
11976,BMC,B M C SOFTWARE INC
11981,FT,FREEPORT MINERALS CO
11983,BGEN,BIOGEN INC
11990,KKR,K K R & CO INC
11997,CMCSK,COMCAST CORP
12044,CBO,CULBRO CORP
12052,GD,GENERAL DYNAMICS CORP
12060,GE,GENERAL ELECTRIC CO
12062,LH,LABCORP HOLDINGS INC
12067,NVLS,NOVELLUS SYSTEMS INC
12073,PBCT,PEOPLES UNITED FINANCIAL INC
12079,GM,GENERAL MOTORS CORP
12095,GSX,GENERAL SIGNAL CORP
12124,GMBL,GIMBEL BROTHERS INC
12140,GR,GOODRICH CORP
12167,GUX,GRAND UNION CO
12183,GN,GREAT NORTHERN RAILWAY CO
12191,GSW,GREAT WESTN SUGAR CO
12212,,GUANTANAMO SUGAR CO
12220,GFO,GULF MOBILE & OHIO RR CO
12298,HRZ,HERTZ CORP
12308,CHTR,CHARTER COMMUNICATIONS INC NEW
12319,HM,HOMESTAKE MINING CO
12343,HW,HOWMET CORP
12369,GM,GENERAL MOTORS CO
12394,IL,ILLINOIS CENT RR CO
12431,IR,INGERSOLL RAND CO
12448,FRC,FIRST REPUBLIC BANK S F NEW
12449,CPAY,CORPAY INC
12456,MMI,MOTOROLA MOBILITY HOLDINGS INC
12458,RYI,RYERSON INC
12466,IC,INSPIRATION CONSOLIDATED CPPR CO
12474,,INTERBOROUGH RAPID TRAN CO
12476,TRGP,TARGA RESOURCES CORP
12490,IBM,INTERNATIONAL BUSINESS MACHS COR
12503,NAV,NAVISTAR INTERNATIONAL CORP
12511,MKG,MALLINCKRODT INC NEW
12558,KMI,KINDER MORGAN INC
12570,ITT,I T T INC
12591,APO,APOLLO GLOBAL MANAGEMENT INC NEW
12618,,INTERTYPE CORP
12622,HCA,H C A HEALTHCARE INC
12623,HII,HUNTINGTON INGALLS INDS INC
12626,JWL,JEWEL COMPANIES INC
12650,KSU,KANSAS CITY SOUTHERN
12669,KYR,KAYSER ROTH CORP
12706,KN,KENNECOTT CORP
12730,KRA,KRAFT INC
12749,KM,K MART CORP
12757,KSC,KRESS S H & CO
12781,SR,SPIRE INC
12810,LV,LEHIGH VALLEY RR CO
12837,LGT,LIGGETT GROUP INC
12872,MPC,MARATHON PETROLEUM CORP
12888,LCE,LONE STAR INDUSTRIES INC
12896,LL,LORILLARD CORP
12909,LN,LOUISVILLE & NASHVILLE RR CO
12933,MEI,M E I DIVERSIFIED INC
12941,MQ,MACK TRUCKS INC
12976,MZ,MACY R H & CO INC
12981,FBIN,FORTUNE BRANDS INNOVATIONS INC
13004,,MANATI SUGAR CO
13012,MHT,MANHATTAN INDUSTRIES INC
13035,XYL,XYLEM INC
13056,AM,AMERICAN GREETINGS CORP
13063,M,MARCOR INC
13100,MAY,MAY DEPARTMENT STORES CO
13119,MYG,MAYTAG CORP
13141,WPX,W P X ENERGY INC
13143,GRH,M G M GRAND HOTELS INC
13151,,MIAMI COPPER CO
13168,TRIP,TRIPADVISOR INC
13207,KT,MISSOURI KANSAS TEXAS RR CO
13210,EPAM,EPAM SYSTEMS INC
13274,MRW,MOTOR WHEEL CORP
13290,WEAR,PREMIUMWEAR INC
13303,NL,N L INDUSTRIES INC
13311,NAB,NABISCO INC
13323,ENPH,ENPHASE ENERGY INC
13354,CUE,QUANTUM CHEMICAL CORP
13356,PSX,PHILLIPS 66
13362,,NATIONAL PWR & LT CO
13370,NTY,NATIONAL TEA CO
13389,,NATIONAL SUPPLY CO PA
13407,META,META PLATFORMS INC
13434,CN,NEW YORK CENT RR CO
13442,NKP,NEW YORK CHICAGO & ST LOUIS RR
13447,NOW,SERVICENOW INC
13511,PANW,PALO ALTO NETWORKS INC
13522,NFK,NORFOLK & WESTERN RAILWAY CO
13549,,NORTH AMERICAN CO
13565,NTS,NORTH AMERICAN SUGAR INDS INC
13567,ADT,A D T CORP
13573,NP,NORTHERN PACIFIC RAILWAY CO
13598,KRFT,KRAFT FOODS GROUP INC
13610,OLN,OLIN CORP
13628,WDAY,WORKDAY INC
13637,OT,OTIS ELEVATOR CO
13641,FANG,DIAMONDBACK ENERGY INC
13661,OI,OWENS ILLINOIS INC
13688,PCG,P G & E CORP
13696,PAC,PACIFIC TELEPHONE & TELEG CO
13721,ABBV,ABBVIE INC
13788,ZTS,ZOETIS INC
13792,PC,PENN CENTRAL CO
13805,PFK,PENICK & FORD LTD
13821,PGL,PEOPLES ENERGY CORP
13856,PEP,PEPSICO INC
13864,,PERE MARQUETTE RY CO
13901,MO,ALTRIA GROUP INC
13911,IQV,IQVIA HOLDINGS INC
13928,COP,CONOCOPHILLIPS
13936,PVH,P V H CORP
13949,CDW,C D W CORP NEW
