date,vwretd,ewretd,sprtrn
1990-01-02,0.014433,0.012481,0.017799
1990-01-03,2.2e-05,0.006485,-0.002586
1990-01-04,-0.006486,-0.000336,-0.008613
1990-01-05,-0.007631,0.00068,-0.009756
1990-01-08,0.003075,0.001957,0.004514
1990-01-09,-0.009269,-0.001415,-0.011787
1990-01-10,-0.006844,-0.00461,-0.006607
1990-01-11,0.002619,0.002212,0.003513
1990-01-12,-0.02255,-0.015355,-0.024675
1990-01-15,-0.008903,-0.004993,-0.008619
1990-01-16,0.008722,-0.001171,0.011128
1990-01-17,-0.006947,0.000124,-0.009831
1990-01-18,0.000333,-0.00267,0.002341
1990-01-19,0.00315,0.004832,0.002839
1990-01-22,-0.022214,-0.011002,-0.025859
1990-01-23,-8.1e-05,-0.002137,0.003723
1990-01-24,-0.004773,-0.011452,-0.004071
1990-01-25,-0.009855,-0.000783,-0.012657
1990-01-26,-0.003405,-0.004488,-0.000859
1990-01-29,-0.002976,-0.006289,-0.001842
1990-01-30,-0.008592,-0.01078,-0.006827
1990-01-31,0.016312,0.007105,0.018887
1990-02-01,0.001097,0.003167,-0.000881
1990-02-02,0.007203,0.006756,0.006478
1990-02-05,0.004264,0.0037,0.00281
1990-02-06,-0.004798,0.000851,-0.006599
1990-02-07,0.01052,0.006206,0.012407
1990-02-08,-0.000555,0.002204,-0.002367
1990-02-09,0.002516,0.003708,0.001982
1990-02-12,-0.008742,-0.002827,-0.010611
1990-02-13,0.001495,-0.002349,0.002848
1990-02-14,0.00207,-0.000178,0.002991
1990-02-15,0.007679,0.005332,0.008674
1990-02-16,-0.004366,0.001816,-0.00648
1990-02-20,-0.012805,-0.007348,-0.014216
1990-02-21,-0.001966,-0.005267,-0.000976
1990-02-22,-0.003193,0.003801,-0.006012
1990-02-23,-0.005441,-0.003394,-0.004759
1990-02-26,0.009423,-0.001126,0.013944
1990-02-27,0.005183,0.003138,0.004838
1990-02-28,0.005599,0.00407,0.004936
1990-03-01,0.002961,0.001105,0.002561
1990-03-02,0.008011,0.006342,0.008415
1990-03-05,-0.003227,0.000274,-0.005364
1990-03-06,0.010611,0.005962,0.012555
1990-03-07,-0.001645,0.001821,-0.0029
1990-03-08,0.008561,0.006805,0.009853
1990-03-09,-0.004731,0.000415,-0.006877
1990-03-12,0.001731,-0.000265,0.00219
1990-03-13,-0.006391,-0.00149,-0.007884
1990-03-14,0.002619,0.003435,0.002589
1990-03-15,0.002671,0.002698,0.003562
1990-03-16,0.008939,0.004334,0.011359
1990-03-19,0.00392,-0.0007,0.004738
