metric,DNN_before_TC,DNN_after_TC,GBT_before_TC,GBT_after_TC,ENS1_before_TC,ENS1_after_TC,MKT
Mean return (long),0.0007,0.0007,0.0008,0.0008,0.0007,0.0007,-
Mean return (short),0.0004,0.0004,0.0001,0.0001,0.0001,0.0001,-
Mean return,0.0003,-0.0017,0.0007,-0.0013,0.0005,-0.0015,0.0005
Standard error (NW),0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0002
t-statistic (NW),0.7569,-3.6624,1.9473,-3.7572,1.454,-3.8767,2.3829
PT test statistic,3.2252,-,10.3151,-,7.6933,-,-
Minimum,-0.1647,-0.1667,-0.1033,-0.1053,-0.1233,-0.1253,-0.1198
Quartile 1,-0.0086,-0.0106,-0.0078,-0.0098,-0.0079,-0.0099,-0.0037
Median,0.0006,-0.0014,0.0002,-0.0018,0.0006,-0.0014,0.0007
Quartile 3,0.0096,0.0076,0.0086,0.0066,0.0086,0.0066,0.0058
Maximum,0.1297,0.1277,0.1183,0.1163,0.1398,0.1378,0.0938
Standard deviation,0.0204,0.0204,0.0165,0.0165,0.0173,0.0173,0.0114
Skewness,-0.3286,-0.3286,0.3465,0.3465,0.2164,0.2164,-0.5444
Kurtosis,9.6889,9.6889,6.1345,6.1345,7.2706,7.2706,15.0192
Historical 1-percent VaR,-0.0589,-0.0609,-0.0441,-0.0461,-0.05,-0.052,-0.0332
Historical 1-percent CVaR,-0.0868,-0.0888,-0.0585,-0.0605,-0.0654,-0.0674,-0.0477
Historical 5-percent VaR,-0.0284,-0.0304,-0.0233,-0.0253,-0.0251,-0.0271,-0.0172
Historical 5-percent CVaR,-0.0485,-0.0505,-0.0367,-0.0387,-0.0399,-0.0419,-0.0278
Maximum drawdown,0.5447,0.9861,0.3646,0.9633,0.2671,0.975,0.3392
Calmar ratio,0.0621,-0.3785,0.4023,-0.3163,0.389,-0.3392,0.3608
Share with return > 0,0.518,0.4566,0.5073,0.4491,0.5198,0.4473,0.5413
