sub_period,model,k,n_days,day_ret,ann_ret,ann_vol,sharpe,max_drawdown,total_ret
extended,ENS1,10,2185,0.00032153,0.046693,0.263963,0.1769,-0.417144,0.490124
extended,ENS1,50,2185,0.00024021,0.04585,0.174669,0.2625,-0.236228,0.479662
extended,ENS1,100,2185,0.00015562,0.029156,0.142646,0.2044,-0.232262,0.285541
extended,ENS1,150,2185,0.00015021,0.030839,0.119854,0.2573,-0.207258,0.304032
extended,ENS1,200,2185,0.00013109,0.028044,0.10119,0.2771,-0.168588,0.273455
extended,ENS2,10,2185,1.505e-05,-0.022449,0.229946,-0.0976,-0.390023,-0.179993
extended,ENS2,50,2185,0.00021136,0.040664,0.16111,0.2524,-0.262122,0.416752
extended,ENS2,100,2185,0.00016352,0.032404,0.134131,0.2416,-0.25007,0.321431
extended,ENS2,150,2185,9.552e-05,0.017523,0.114096,0.1536,-0.233537,0.163955
extended,ENS2,200,2185,7.742e-05,0.014886,0.095726,0.1555,-0.192518,0.137853
extended,ENS3,10,2185,0.0002118,0.021335,0.252414,0.0845,-0.312336,0.20262
extended,ENS3,50,2185,0.00018227,0.031692,0.169579,0.1869,-0.26605,0.313492
extended,ENS3,100,2185,0.00013021,0.02281,0.141413,0.1613,-0.252153,0.217894
extended,ENS3,150,2185,0.00013585,0.027357,0.118102,0.2316,-0.199706,0.266033
extended,ENS3,200,2185,0.0001121,0.023324,0.099751,0.2338,-0.17373,0.223245
extended,DNN,10,2185,0.00037909,0.043529,0.321994,0.1352,-0.544656,0.451204
extended,DNN,50,2185,0.00016258,0.021334,0.19767,0.1079,-0.337581,0.202611
extended,DNN,100,2185,0.0001471,0.025156,0.154479,0.1628,-0.310428,0.242523
extended,DNN,150,2185,0.00012019,0.022039,0.128414,0.1716,-0.277202,0.20989
extended,DNN,200,2185,8.23e-05,0.014957,0.107019,0.1398,-0.266526,0.138548
extended,GBT,10,2185,0.00071632,0.16229,0.239826,0.6767,-0.278442,2.722615
extended,GBT,50,2185,0.00016888,0.03066,0.155312,0.1974,-0.242035,0.30205
extended,GBT,100,2185,0.0001129,0.020316,0.127546,0.1593,-0.203418,0.192175
extended,GBT,150,2185,7.515e-05,0.012983,0.108609,0.1195,-0.145002,0.119347
extended,GBT,200,2185,8.177e-05,0.016303,0.092502,0.1763,-0.125913,0.15182
extended,RAF,10,2185,-0.00019048,-0.070626,0.225942,-0.3126,-0.544943,-0.472787
extended,RAF,50,2185,0.00028449,0.059976,0.160454,0.3738,-0.261875,0.663751
extended,RAF,100,2185,0.00019162,0.039993,0.131898,0.3032,-0.266467,0.408788
extended,RAF,150,2185,9.712e-05,0.018245,0.11135,0.1639,-0.237886,0.171195
extended,RAF,200,2185,6.729e-05,0.012521,0.093607,0.1338,-0.190709,0.114887
