sub_period,model,k,n_days,day_ret,ann_ret,ann_vol,sharpe,max_drawdown,total_ret
paper,ENS1,10,5065,0.0027168,0.851735,0.35441,2.4032,-0.484492,263721.116938
paper,ENS1,50,5065,0.00158337,0.454198,0.205723,2.2078,-0.391258,1970.295909
paper,ENS1,100,5065,0.00105374,0.285403,0.156539,1.8232,-0.329026,160.857983
paper,ENS1,150,5065,0.00078205,0.20604,0.12733,1.6181,-0.28053,43.502582
paper,ENS1,200,5065,0.00060792,0.157696,0.104934,1.5028,-0.236338,18.427934
paper,ENS2,10,5065,0.00251786,0.783005,0.318424,2.459,-0.642048,122559.692688
paper,ENS2,50,5065,0.00143647,0.408212,0.182355,2.2386,-0.358515,1027.046941
paper,ENS2,100,5065,0.00100208,0.272158,0.139439,1.9518,-0.328191,130.221073
paper,ENS2,150,5065,0.00071876,0.189352,0.111655,1.6959,-0.262234,32.557664
paper,ENS2,200,5065,0.00057325,0.149117,0.092597,1.6104,-0.22489,15.710067
paper,ENS3,10,5065,0.00283836,0.922166,0.333961,2.7613,-0.480756,561825.577137
paper,ENS3,50,5065,0.0015467,0.443535,0.196887,2.2527,-0.390156,1697.245333
paper,ENS3,100,5065,0.00104862,0.285201,0.149274,1.9106,-0.320157,160.344664
paper,ENS3,150,5065,0.00077115,0.203739,0.120828,1.6862,-0.282108,41.813643
paper,ENS3,200,5065,0.00058467,0.151604,0.099749,1.5199,-0.236693,16.458395
paper,DNN,10,5065,0.00218188,0.607543,0.375729,1.617,-0.537089,15025.399421
paper,DNN,50,5065,0.00136576,0.373828,0.217384,1.7197,-0.405364,622.035472
paper,DNN,100,5065,0.00091169,0.239057,0.164103,1.4567,-0.325989,75.91801
paper,DNN,150,5065,0.00071092,0.183928,0.132848,1.3845,-0.284812,29.589602
paper,DNN,200,5065,0.00057286,0.147017,0.109644,1.3409,-0.24152,15.102134
paper,GBT,10,5065,0.0022893,0.685653,0.316264,2.168,-0.612357,39292.605058
paper,GBT,50,5065,0.00122319,0.334617,0.184527,1.8134,-0.414158,345.515842
paper,GBT,100,5065,0.0008666,0.229825,0.139378,1.6489,-0.335007,65.103297
paper,GBT,150,5065,0.00062829,0.162537,0.113396,1.4334,-0.291591,20.141721
paper,GBT,200,5065,0.00050533,0.129659,0.093682,1.384,-0.255516,10.822534
paper,RAF,10,5065,0.00244081,0.755721,0.306201,2.4681,-0.468941,89673.907107
paper,RAF,50,5065,0.00134054,0.376801,0.174536,2.1589,-0.353736,649.92412
paper,RAF,100,5065,0.00094211,0.254422,0.1325,1.9202,-0.315888,97.734551
paper,RAF,150,5065,0.00068578,0.180298,0.106161,1.6984,-0.240154,27.744422
paper,RAF,200,5065,0.0005549,0.144307,0.088305,1.6342,-0.203638,14.348625
